Run	Description	Short	Category	Group	Method	Fraction	Experiment	GEO_Accession (exp)	Sample Name
SRR4305543	Kre33-data-I	K33_a	S	K33	rip33		SRX2199807	GSM2332452	GSM2332452
SRR4305544	Kre33-data-II	K33_b	S	K33	rip33		SRX2199808	GSM2332453	GSM2332453
SRR14570780	HTP-tagged Puf6	P6_a	S	P6	rip6		SRX10913999	GSM5320150	GSM5320150
SRR14570781	HTP-tagged Puf6	P6_b	S	P6	rip6		SRX10914000	GSM5320151	GSM5320151
SRR4024838	Nab3 Vari-X-linker	N3_a	U	N3	rip3		SRX2016899	GSM2276892	GSM2276892
SRR4024839	Nab3 Megatron 1	N3_b	U	N3	rip3		SRX2016900	GSM2276893	GSM2276893
SRR4024840	Nab3 Megatron 2	N3_c	U	N3	rip3		SRX2016901	GSM2276894	GSM2276894
