source_composer,source_frame,switch_bay,channel_group,named_port,port_location,lacp_port_hex,lacp_port_decimal,lacp_mac,aggregator_mac,device_model
mtsyncom2,MTSYNFRAME5,6,8,Ten-GigabitEthernet0/0/1:2,0/0/1:2,0x63,99,54:80:28:83:4d:9a,,Virtual Connect SE 40Gb F8 Module for Synergy
mtsyncom2,MTSYNFRAME5,6,8,Ten-GigabitEthernet1/0/1:1,1/0/1:1,0xec,236,54:80:28:83:4d:9a,,Virtual Connect SE 40Gb F8 Module for Synergy
mtsyncom2,MTSYNFRAME5,6,8,Ten-GigabitEthernet1/0/1:2,1/0/1:2,0xed,237,54:80:28:83:4d:9a,,Virtual Connect SE 40Gb F8 Module for Synergy
mtsyncom2,MTSYNFRAME5,6,9,Ten-GigabitEthernet0/0/1:3,0/0/1:3,0x64,100,54:80:28:83:4d:9a,,Virtual Connect SE 40Gb F8 Module for Synergy
mtsyncom2,MTSYNFRAME5,6,9,Ten-GigabitEthernet1/0/1:3,1/0/1:3,0xee,238,54:80:28:83:4d:9a,,Virtual Connect SE 40Gb F8 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,2,ethernet0/0/1:3,0/0/1:3,0x64,100,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,2,ethernet1/0/1:3,1/0/1:3,0xf0,240,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,3,ethernet0/0/1:1,0/0/1:1,0x62,98,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,3,ethernet0/0/1:2,0/0/1:2,0x63,99,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,3,ethernet1/0/1:1,1/0/1:1,0xee,238,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME7,3,3,ethernet1/0/1:2,1/0/1:2,0xef,239,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,2,ethernet0/0/1:3,0/0/1:3,0x64,100,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,2,ethernet1/0/1:3,1/0/1:3,0xf0,240,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,3,ethernet0/0/1:1,0/0/1:1,0x62,98,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,3,ethernet0/0/1:2,0/0/1:2,0x63,99,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,3,ethernet1/0/1:1,1/0/1:1,0xee,238,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
mtsyncom3,MTSYNFRAME8,6,3,ethernet1/0/1:2,1/0/1:2,0xef,239,e6:79:4a:00:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,2,Ten-GigabitEthernet0/0/1:1,0/0/1:1,0x62,98,54:80:28:84:76:66,54:80:28:84:76:66,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,2,Ten-GigabitEthernet0/0/1:2,0/0/1:2,0x63,99,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,2,Ten-GigabitEthernet1/0/1:1,1/0/1:1,0xec,236,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,2,Ten-GigabitEthernet1/0/1:2,1/0/1:2,0xed,237,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,3,Ten-GigabitEthernet0/0/1:3,0/0/1:3,0x64,100,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME1,3,3,Ten-GigabitEthernet1/0/1:3,1/0/1:3,0xee,238,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,2,Ten-GigabitEthernet0/0/1:1,0/0/1:1,0x62,98,54:80:28:84:76:66,04:09:73:03:73:8d,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,2,Ten-GigabitEthernet0/0/1:2,0/0/1:2,0x63,99,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,2,Ten-GigabitEthernet1/0/1:1,1/0/1:1,0xec,236,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,2,Ten-GigabitEthernet1/0/1:2,1/0/1:2,0xed,237,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,3,Ten-GigabitEthernet0/0/1:3,0/0/1:3,0x64,100,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom1,NDCSYNFRAME2,6,3,Ten-GigabitEthernet1/0/1:3,1/0/1:3,0xee,238,54:80:28:84:76:66,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,2,Ten-GigabitEthernet0/0/1:3,0/0/1:3,0x64,100,54:80:28:85:97:44,54:80:28:85:9e:10,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,2,Ten-GigabitEthernet1/0/1:3,1/0/1:3,0xee,238,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,3,Ten-GigabitEthernet0/0/1:1,0/0/1:1,0x62,98,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,3,Ten-GigabitEthernet0/0/1:2,0/0/1:2,0x63,99,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,3,Ten-GigabitEthernet1/0/1:1,1/0/1:1,0xec,236,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME4,3,3,Ten-GigabitEthernet1/0/1:2,1/0/1:2,0xed,237,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,2,Ten-GigabitEthernet0/0/1:3,0/0/1:3,0x64,100,54:80:28:85:97:44,54:80:28:85:97:44,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,2,Ten-GigabitEthernet1/0/1:3,1/0/1:3,0xee,238,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,3,Ten-GigabitEthernet0/0/1:1,0/0/1:1,0x62,98,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,3,Ten-GigabitEthernet0/0/1:2,0/0/1:2,0x63,99,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,3,Ten-GigabitEthernet1/0/1:1,1/0/1:1,0xec,236,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ndcsyncom2,NDCSYNFRAME5,6,3,Ten-GigabitEthernet1/0/1:2,1/0/1:2,0xed,237,54:80:28:85:97:44,,Virtual Connect SE 40Gb F8 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,2,ethernet0/0/1:3,0/0/1:3,0x64,100,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,2,ethernet1/0/1:3,1/0/1:3,0xf0,240,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,3,ethernet0/0/1:1,0/0/1:1,0x62,98,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,3,ethernet0/0/1:2,0/0/1:2,0x63,99,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,3,ethernet1/0/1:1,1/0/1:1,0xee,238,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME7,3,3,ethernet1/0/1:2,1/0/1:2,0xef,239,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,2,ethernet0/0/1:3,0/0/1:3,0x64,100,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,2,ethernet1/0/1:3,1/0/1:3,0xf0,240,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,3,ethernet0/0/1:1,0/0/1:1,0x62,98,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,3,ethernet0/0/1:2,0/0/1:2,0x63,99,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,3,ethernet1/0/1:1,1/0/1:1,0xee,238,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
ncdsyncom3,NDCSYNFRAME8,6,3,ethernet1/0/1:2,1/0/1:2,0xef,239,4e:ef:ef:80:00:01,,Virtual Connect SE 100Gb F32 Module for Synergy
