T,myTime,myX,myY
1,1,1.42554106,0.5789241
2,2,0.94914971,-0.3312815
3,3,0.23127689,-1.22145978
4,4,-0.2526442,-0.66871808
5,5,-0.15659341,-0.70578591
6,6,0.15918157,-0.26048187
7,7,-0.21474775,-0.2870725
8,8,-0.12255337,0.21333121
9,9,0.14979766,-0.12566595
10,10,0.25750116,0.08773351
11,11,-0.02879961,-0.07085125
12,12,0.10058447,-0.09418273
13,13,-0.09549553,0.1046626
14,14,0.17653106,-0.06885549
15,15,0.0295225,0.32595401
16,16,0.11291985,-0.21058928
17,17,0.1149693,0.44302468
18,18,0.12482476,0.05547714
19,19,0.11381143,-0.01757792
20,20,0.19880504,-0.08288194
21,21,-0.10963909,0.15224343
22,22,0.34716799,-0.27905647
23,23,-0.03229339,0.06296023
24,24,-0.30975522,-0.22956898
25,25,0.23493977,-0.28520517
26,26,0.08559593,-0.14698332
27,27,0.13266831,-0.02731029
28,28,0.13481106,-0.12316839
29,29,0.0222162,0.04804979
30,30,-0.15678052,0.04662507
