# --------------------------------------------------------------------------------------------------------------
# /home/rx/temp/runningz/fe/_cache_/20231103/top_opt_20231104_013616_0.2568_289.dict
# -------------------------------------------------------------------------------------------------------------- 2019
2010-2019
[i=0100] ic=0.143259, icp=0.033146, icpn=0.020368, icpm=0.061619, icpn_q20=0.013531, icpn_t1000=0.016437
[i=0200] ic=0.145637, icp=0.035877, icpn=0.021843, icpm=0.065098, icpn_q20=0.014864, icpn_t1000=0.017973
[i=0300] ic=0.146107, icp=0.037739, icpn=0.022831, icpm=0.066721, icpn_q20=0.015782, icpn_t1000=0.018998
[i=0400] ic=0.146410, icp=0.039373, icpn=0.023637, icpm=0.067692, icpn_q20=0.016352, icpn_t1000=0.019704
[i=0500] ic=0.146452, icp=0.040729, icpn=0.024261, icpm=0.068508, icpn_q20=0.016990, icpn_t1000=0.020442
[i=0600] ic=0.146573, icp=0.042022, icpn=0.024928, icpm=0.069695, icpn_q20=0.017447, icpn_t1000=0.021012
[i=0700] ic=0.146734, icp=0.043088, icpn=0.025454, icpm=0.070500, icpn_q20=0.018119, icpn_t1000=0.021533
[i=0800] ic=0.146640, icp=0.043665, icpn=0.025735, icpm=0.070797, icpn_q20=0.018373, icpn_t1000=0.021901
[i=0900] ic=0.146904, icp=0.044347, icpn=0.026080, icpm=0.071466, icpn_q20=0.018695, icpn_t1000=0.022103
[i=1000] ic=0.146737, icp=0.044682, icpn=0.026199, icpm=0.071790, icpn_q20=0.018814, icpn_t1000=0.022242
[i=1100] ic=0.146644, icp=0.044806, icpn=0.026276, icpm=0.071748, icpn_q20=0.018918, icpn_t1000=0.022363
[i=1200] ic=0.146661, icp=0.045177, icpn=0.026452, icpm=0.072224, icpn_q20=0.019166, icpn_t1000=0.022583
[i=1300] ic=0.146759, icp=0.045529, icpn=0.026631, icpm=0.072518, icpn_q20=0.019399, icpn_t1000=0.022698
[i=1400] ic=0.146565, icp=0.045650, icpn=0.026682, icpm=0.072390, icpn_q20=0.019355, icpn_t1000=0.022792
[i=1500] ic=0.146430, icp=0.045778, icpn=0.026733, icpm=0.072343, icpn_q20=0.019481, icpn_t1000=0.022818

2017-2019
[i=0100] ic=0.155049, icp=0.035010, icpn=0.021135, icpm=0.068322, icpn_q20=0.015621, icpn_t1000=0.018133
[i=0200] ic=0.156973, icp=0.037719, icpn=0.022717, icpm=0.071937, icpn_q20=0.017043, icpn_t1000=0.019608
[i=0300] ic=0.156909, icp=0.039006, icpn=0.023368, icpm=0.072145, icpn_q20=0.017517, icpn_t1000=0.020131
[i=0400] ic=0.156700, icp=0.040305, icpn=0.024019, icpm=0.072507, icpn_q20=0.018313, icpn_t1000=0.020847
[i=0500] ic=0.156082, icp=0.041367, icpn=0.024498, icpm=0.072663, icpn_q20=0.018654, icpn_t1000=0.021331
[i=0600] ic=0.155556, icp=0.042540, icpn=0.025036, icpm=0.073362, icpn_q20=0.019192, icpn_t1000=0.021873
[i=0700] ic=0.155174, icp=0.043392, icpn=0.025451, icpm=0.073571, icpn_q20=0.019668, icpn_t1000=0.022376
[i=0800] ic=0.154465, icp=0.043870, icpn=0.025661, icpm=0.073617, icpn_q20=0.019742, icpn_t1000=0.022686
[i=0900] ic=0.153896, icp=0.044159, icpn=0.025749, icpm=0.073311, icpn_q20=0.019819, icpn_t1000=0.022835
[i=1000] ic=0.153389, icp=0.044535, icpn=0.025950, icpm=0.073526, icpn_q20=0.020023, icpn_t1000=0.022932
[i=1100] ic=0.152926, icp=0.044848, icpn=0.026057, icpm=0.073416, icpn_q20=0.020142, icpn_t1000=0.023012
[i=1200] ic=0.152422, icp=0.045027, icpn=0.026148, icpm=0.073357, icpn_q20=0.020277, icpn_t1000=0.023129
[i=1300] ic=0.152124, icp=0.045276, icpn=0.026235, icpm=0.073310, icpn_q20=0.020420, icpn_t1000=0.023131
[i=1400] ic=0.151774, icp=0.045515, icpn=0.026351, icpm=0.073480, icpn_q20=0.020385, icpn_t1000=0.023326
[i=1500] ic=0.151318, icp=0.045626, icpn=0.026409, icpm=0.073423, icpn_q20=0.020497, icpn_t1000=0.023399

/home/rx/runningz/fe/_cache_/20231110/comb12_20231111_092257_0.2635_254.dict
[i=0100] ic=0.155983, icp=0.036279, icpn=0.021845, icpm=0.071311, icpn_q20=0.015993, icpn_t1000=0.018524
[i=0200] ic=0.159016, icp=0.039243, icpn=0.023552, icpm=0.074951, icpn_q20=0.017165, icpn_t1000=0.019866
[i=0300] ic=0.159936, icp=0.041960, icpn=0.024873, icpm=0.076764, icpn_q20=0.018216, icpn_t1000=0.021222
[i=0400] ic=0.159656, icp=0.043883, icpn=0.025742, icpm=0.077419, icpn_q20=0.018919, icpn_t1000=0.021968
[i=0500] ic=0.159105, icp=0.045445, icpn=0.026413, icpm=0.077889, icpn_q20=0.019650, icpn_t1000=0.022693
[i=0600] ic=0.158529, icp=0.046691, icpn=0.026955, icpm=0.077969, icpn_q20=0.020218, icpn_t1000=0.023258
[i=0700] ic=0.157952, icp=0.047388, icpn=0.027250, icpm=0.077997, icpn_q20=0.020463, icpn_t1000=0.023543
[i=0800] ic=0.157205, icp=0.047649, icpn=0.027296, icpm=0.077364, icpn_q20=0.020564, icpn_t1000=0.023691
[i=0900] ic=0.156419, icp=0.047957, icpn=0.027435, icpm=0.077471, icpn_q20=0.020764, icpn_t1000=0.023825
[i=1000] ic=0.155983, icp=0.048382, icpn=0.027628, icpm=0.077563, icpn_q20=0.020794, icpn_t1000=0.024063
[i=1100] ic=0.155507, icp=0.048728, icpn=0.027761, icpm=0.077635, icpn_q20=0.020957, icpn_t1000=0.024182
[i=1200] ic=0.155080, icp=0.048935, icpn=0.027832, icpm=0.077278, icpn_q20=0.021088, icpn_t1000=0.024295
