sidc,patterns
10062500002819000000,ПРОТИТАНКОВИЙ РІВ ТА ПІРАМІДИ|ПРОТИТАНКОВІ НАДОВБИ|ПРОТИТАНКОВІ ПІРАМІДИ
10061500322203000000,РЛК ЯСТРЕБ АВ|ROLL PARK
10061000001505040000,Р-934БМВ|Р-330Ж|РЕБ|рэб|КОМСТАНЦІЯ ПОДАВЛЕННЯ НАВІГАЦІЇПЛЕКС ПРОТИДІЇ БПЛА|РБ-301Б|ROSC 1|ROSC-1|СТАНЦІЯ ПОДАВЛЕННЯ НАВІГАЦІЇ|СТАНЦІЯ ПОДАВЛЕННЯ НАВІГАЦІЇ|ПОЛЕ-21|ПРИДУШЕННЯ ЗВ'ЯЗКУ|СТАНЦІЯ ПЕРЕШКОД СИСТЕМ НАВІГАЦІЇ|КОМПЛЕКС ПРИДУШЕННЯ СИГНАЛІВ НАВІГАЦІЙНИХ СИСТЕМ|БОРИСОГЛЕБСЬК-2|P-934БМВ|Р-934|СТВОРЕННЯ ПЕРЕШКОД|EW|TOOTH RIDGE|NAVIGATION JAMMER
10061500002001000000,ПЕЛЕНГ АЗАРТУ|АНТЕНА|ПЕЛЕНГ P-440|ПЕЛЕНГ R-419|АНТЕНИ|ПЕЛЕНГ ДМХ ЗВ'ЯЗКУ|Р-440|BROADCAST ANTENNA|АНТЕНА ЗВ’ЯЗКУ
10061000001110010000,Р-444|R-444|P-187|Р-187|R-187|R-168|Р-168|P-168|Р-392|DMR|ПЕЛЕНГ УКХ ЗВ'ЯЗКУ|P-392|АМ ЗВ'ЯЗКУ|R-392|R-409|R-412|R-415|R-419|R-423|R-438|R-440|R-441|R-794
10061000001110040000,СТАНЦІЯ СУПУТНИКОВОГО ЗВ`ЯЗКУ|ПЕЛЕНГ VSAT|ПЕЛЕНГАЦІЯ РАДІОСТАНЦІЇ VSAT|ПЕЛЕНГ РАДІОСТАНЦІЇ VSAT|ПЕЛЕНГ ТЕРМІНАЛУ СУПУТНИКОВОГО ЗВ'ЯЗКУ|Р-438|ПЕЛЕНГ R-438|P-438|VSAT|Р-441|Р-423|GROUND SATELLITES
10061000001110020000,Р-419|Р-415|Р-409|РЕЛЕ ЗВ’ЯЗКУ
10061002001100000000,ШТАБ|ШТАБА|ШТАБУ|ШТАБОМ|ШТАБЕ
10061500321111040000,ПАНЦИР-С1|ЗРГК ПАНЦИРЬ|ПАНЦИРЬ-С1|ЗГРК 96К6|ПАНЦИР-S1|ПАНЦИР-C1|ПАНЦИРЬ-С|96К6|ПАНЦИРЬ-С2|ЗРГК ПАНЦИР|ПАНЦИР С1|ПАНЦИР С2|ПАНЦИР-С2|SA-22
10061500332203000000,РЛС 9С18М1 КУПОЛ|9С36|9С32|АРК-1|9С18|9С15
10061500352203000000,96L6E|1Л125|1L125|НЕБО-СВУ|НЕБО СВУ|РЛС П-12|TIN SHIELD|NEBO-SVU
10061500331111040000,ЗРК БУК|БУК-М3|БУК-М1|9К317М|БУК М2|БУК-М2|БУК М1|9К37|БУК М3|БУК|9А317|BUK M2|BUK M3|SA-11|SA-17|SA-27
10061000001100000000,ПЕЛЕНГ С2|С2(?![-\d])|C2(?![-\d])|КОМАНДНО-СПОСТЕРЕЖНИЙ ПУНКТ|COMMAND AND CONTROL|КНП
10062500001601000000,СПОСТЕРЕЖНИЙ ПУНКТ (СП)|СПОСТЕРЕЖНИЙ ПУНКТ|СП|НАБЛЮДАТЕЛЬНЫЙ ПУНКТ (НП)|НП|НАБЛЮДАТЕЛЬНОГО ПУНКТА|НАБЛЮДАТЕЛЬНОМУ ПУНКТУ|НАБЛЮДАТЕЛЬНЫМ ПУНКТОМ
10061000001100000000,ПУ / КШМ|ПУ/КШМ|ПУНКТ УПРАВЛІННЯ|КОМАНДНИЙ ПУНКТ|ПУ/КШМ|ПІДРОЗДІЛ УПРАВЛІННЯ|РОСІЙСЬКИЙ ПУ|ПУ|КП|Командування та управління
10061500001201020000,КШМ|КОМАНДНО ШТАБНАЯ МАШИНА
10062000001213060000,РЕМ.БАЗА|РЕМБАЗА|РЕМОНТНА БАЗА|БАЗА РЕМОНТУ
