seq,month,year,current,expected,myTime
154,October,1990,84.2,50.9,10
155,November,1990,86.7,52.8,11
156,December,1990,84,53.7,12
157,January,1991,84.9,55.2,1
158,February,1991,83.7,62,2
159,March,1991,92.7,84.5,3
160,April,1991,92.8,74.7,4
161,May,1991,89,71.5,5
162,June,1991,91.9,75.9,6
163,July,1991,96.1,74.4,7
164,August,1991,92.3,75.3,8
165,September,1991,93.2,76.4,9
166,October,1991,90.4,70.5,10
167,November,1991,80.3,61.9,11
168,December,1991,78.7,61.5,12
169,January,1992,80.5,59.1,1
170,February,1992,79.7,61.8,2
171,March,1992,84.9,70.3,3
172,April,1992,87.7,70.5,4
173,May,1992,91.5,71.2,5
174,June,1992,95.4,70.7,6
175,July,1992,90.6,67.6,7
176,August,1992,86.2,69.5,8
177,September,1992,88.3,67.4,9
178,October,1992,82.5,67.5,10
179,November,1992,96.4,78.2,11
180,December,1992,93.4,89.5,12
181,January,1993,98.6,83.4,1
182,February,1993,96,80.6,2
183,March,1993,101.6,75.8,3
184,April,1993,99.9,76.4,4
185,May,1993,98.7,68.5,5
186,June,1993,98.7,70.4,6
187,July,1993,96.2,64.7,7
188,August,1993,95.1,65.8,8
189,September,1993,95.2,66.8,9
190,October,1993,98.7,72.5,10
191,November,1993,98.2,70.3,11
192,December,1993,102.9,78.8,12
193,January,1994,106.6,86.4,1
194,February,1994,108.3,83.5,2
195,March,1994,101.4,85.1,3
196,April,1994,108.1,82.6,4
197,May,1994,106.3,84.2,5
198,June,1994,104.5,82.7,6
199,July,1994,105.4,78.5,7
200,August,1994,108.7,80.8,8
201,September,1994,104,83.5,9
202,October,1994,104.6,85.1,10
203,November,1994,102.1,84.8,11
204,December,1994,104.9,88.8,12
205,January,1995,112,88.4,1
206,February,1995,109.3,85.9,2
207,March,1995,106.5,79.8,3
208,April,1995,105.9,83.8,4
209,May,1995,105,80.1,5
210,June,1995,106.1,84.1,6
211,July,1995,105.2,87.4,7
212,August,1995,111.8,86.1,8
213,September,1995,104.6,78.8,9
214,October,1995,104.8,80.8,10
215,November,1995,101.3,79.7,11
216,December,1995,102.4,83.7,12
217,January,1996,105.8,78.7,1
218,February,1996,105.2,77.8,2
219,March,1996,105.4,86.2,3
220,April,1996,107.8,83,4
221,May,1996,105.1,79.2,5
222,June,1996,105.4,84,6
223,July,1996,107.5,86.5,7
224,August,1996,107.8,87.3,8
225,September,1996,102,90.1,9
226,October,1996,106.6,89.9,10
227,November,1996,107.5,93.9,11
228,December,1996,104.9,91.8,12
229,January,1997,106.8,91.3,1
230,February,1997,107.2,94.9,2
231,March,1997,109.8,93.6,3
232,April,1997,115.2,92.5,4
233,May,1997,113.5,96.6,5
234,June,1997,113.2,98.9,6
235,July,1997,114,102.6,7
236,August,1997,110.7,100.3,8
237,September,1997,114.1,100.7,9
238,October,1997,109.8,102.8,10
239,November,1997,114.9,102.3,11
240,December,1997,111.4,96.1,12
241,January,1998,113.5,102.2,1
242,February,1998,120,104.2,2
243,March,1998,113.7,101.9,3
244,April,1998,115.5,104.3,4
245,May,1998,113.9,101.7,5
246,June,1998,115.4,99.3,6
247,July,1998,113.3,100,7
248,August,1998,113.9,98.3,8
249,September,1998,111.7,93.9,9
250,October,1998,112.8,87.5,10
251,November,1998,115.9,94.3,11
252,December,1998,113.9,91.9,12
253,January,1999,116.8,95.7,1
254,February,1999,115,103.6,2
255,March,1999,116.3,99,3
256,April,1999,115.9,97.4,4
257,May,1999,121.1,97.6,5
258,June,1999,118.9,99.8,6
259,July,1999,116.5,99.2,7
260,August,1999,114.1,98.4,8
261,September,1999,115.9,101.5,9
262,October,1999,112.7,97.1,10
263,November,1999,116.8,101,11
264,December,1999,112.2,101.1,12
265,January,2000,117.3,108.6,1
266,February,2000,116.8,107.8,2
267,March,2000,115.4,101.7,3
268,April,2000,117.8,103.7,4
269,May,2000,119.9,104.8,5
270,June,2000,115.1,100.8,6
271,July,2000,114.2,104.5,7
272,August,2000,112.4,104,8
273,September,2000,112,103.4,9
274,October,2000,113.6,100.7,10
275,November,2000,116.9,101.6,11
276,December,2000,110.5,90.7,12
277,January,2001,107.7,86.4,1
278,February,2001,105.8,80.8,2
279,March,2001,103.4,83.9,3
280,April,2001,98,82.2,4
281,May,2001,102.2,85.4,5
282,June,2001,101.6,86.9,6
283,July,2001,98.6,88.4,7
284,August,2001,101.2,85.2,8
285,September,2001,94.6,73.5,9
286,October,2001,94,75.5,10
287,November,2001,95.3,76.6,11
288,December,2001,99,82.3,12
289,January,2002,95.7,91.3,1
290,February,2002,96.2,87.2,2
291,March,2002,100.4,92.7,3
292,April,2002,99.2,89.1,4
293,May,2002,103.5,92.7,5
294,June,2002,99.5,87.9,6
295,July,2002,99.3,81,7
296,August,2002,98.5,80.6,8
297,September,2002,95.8,79.9,9
298,October,2002,92.4,73.1,10
299,November,2002,93.1,78.5,11
300,December,2002,96,80.8,12
301,January,2003,97.2,72.8,1
302,February,2003,95.4,69.9,2
303,March,2003,90,69.6,3
304,April,2003,96.4,79.3,4
305,May,2003,93.2,91.4,5
306,June,2003,94.7,86.4,6
307,July,2003,102.1,83.7,7
308,August,2003,99.7,82.5,8
309,September,2003,98.4,80.8,9
310,October,2003,99.9,83,10
311,November,2003,102.5,88.1,11
312,December,2003,97,89.8,12
313,January,2004,109.5,100.1,1
314,February,2004,103.6,88.5,2
315,March,2004,106.8,88.8,3
316,April,2004,105,87.3,4
317,May,2004,103.6,81.6,5
318,June,2004,106.7,88.5,6
319,July,2004,105.2,91.2,7
320,August,2004,107.9,88.2,8
321,September,2004,103.7,88,9
322,October,2004,104,83.8,10
323,November,2004,104.7,85.2,11
324,December,2004,106.7,90.9,12
325,January,2005,110.9,85.7,1
326,February,2005,109.2,84.4,2
327,March,2005,108,82.8,3
328,April,2005,104.4,77,4
329,May,2005,104.9,75.3,5
330,June,2005,113.2,85,6
331,July,2005,113.5,85.5,7
332,August,2005,108.2,76.9,8
333,September,2005,98.1,63.3,9
334,October,2005,91.2,63.2,10
335,November,2005,100.2,69.6,11
336,December,2005,109.1,80.2,12
337,January,2006,110.3,78.9,1
338,February,2006,105.6,74.5,2
339,March,2006,109.1,76,3
340,April,2006,109.2,73.4,4
341,May,2006,96.1,68.2,5
342,June,2006,105,72,6
343,July,2006,103.5,72.5,7
344,August,2006,103.8,68,8
345,September,2006,96.6,78.2,9
346,October,2006,107.3,84.8,10
347,November,2006,106,83.2,11
348,December,2006,108.1,81.2,12
349,January,2007,111.3,87.6,1
350,February,2007,106.7,81.5,2
351,March,2007,103.5,78.7,3
352,April,2007,104.6,75.9,4
353,May,2007,105.1,77.6,5
354,June,2007,101.9,74.7,6
355,July,2007,104.5,81.5,7
356,August,2007,98.4,73.7,8
357,September,2007,97.9,74.1,9
358,October,2007,97.6,70.1,10
359,November,2007,91.5,66.2,11
360,December,2007,91,65.6,12
361,January,2008,94.4,68.1,1
362,February,2008,83.8,62.4,2
363,March,2008,84.2,60.1,3
364,April,2008,77,53.3,4
365,May,2008,73.3,51.1,5
366,June,2008,67.6,49.2,6
367,July,2008,73.1,53.5,7
368,August,2008,71,57.9,8
369,September,2008,75,67.2,9
370,October,2008,58.4,57,10
371,November,2008,57.5,53.9,11
372,December,2008,69.5,54,12
373,January,2009,66.5,57.8,1
374,February,2009,65.5,50.5,2
375,March,2009,63.3,53.5,3
376,April,2009,68.3,63.1,4
377,May,2009,67.7,69.4,5
378,June,2009,73.2,69.2,6
379,July,2009,70.5,63.2,7
380,August,2009,66.6,65,8
381,September,2009,73.4,73.5,9
382,October,2009,73.7,68.6,10
383,November,2009,68.8,66.5,11
384,December,2009,78,68.9,12
385,January,2010,81.1,70.1,1
386,February,2010,81.8,68.4,2
387,March,2010,82.4,67.9,3
388,April,2010,81,66.5,4
389,May,2010,81,68.8,5
390,June,2010,85.6,69.8,6
391,July,2010,76.5,62.3,7
392,August,2010,78.3,62.9,8
393,September,2010,79.6,60.9,9
394,October,2010,76.6,61.9,10
395,November,2010,82.1,64.8,11
396,December,2010,85.3,67.5,12
397,January,2011,81.8,69.3,1
398,February,2011,86.9,71.6,2
399,March,2011,82.5,57.9,3
400,April,2011,82.5,61.6,4
401,May,2011,81.9,69.5,5
402,June,2011,82,64.7,6
403,July,2011,75.7,55.9,7
404,August,2011,68.5,47.6,8
405,September,2011,75.2,49.4,9
406,October,2011,74.9,51.7,10
407,November,2011,77.4,54.9,11
408,December,2011,79.6,63.6,12
409,January,2012,84.2,69.1,1
410,February,2012,83,70.3,2
411,March,2012,86,69.8,3
412,April,2012,82.9,72.3,4
413,May,2012,87.2,74.3,5
414,June,2012,81.5,67.8,6
415,July,2012,82.7,65.6,7
416,August,2012,88.7,65.1,8
417,September,2012,85.7,73.5,9
418,October,2012,88.1,79,10
419,November,2012,90.6,77.7,11
420,December,2012,87,63.8,12
421,January,2013,85,66.6,1
422,February,2013,89,70.2,2
423,March,2013,90.7,70.8,3
424,April,2013,89.9,67.8,4
425,May,2013,98,75.8,5
426,June,2013,93.8,77.8,6
427,July,2013,98.6,76.5,7
428,August,2013,95.2,73.7,8
429,September,2013,92.6,67.8,9
430,October,2013,89.9,62.5,10
431,November,2013,88,66.8,11
432,December,2013,98.6,72.1,12
433,January,2014,96.8,71.2,1
434,February,2014,95.4,72.7,2
435,March,2014,95.7,70,3
436,April,2014,98.7,74.7,4
437,May,2014,94.5,73.7,5
438,June,2014,96.6,73.5,6
439,July,2014,97.4,71.8,7
440,August,2014,99.8,71.3,8
441,September,2014,98.9,75.4,9
442,October,2014,98.3,79.6,10
443,November,2014,102.7,79.9,11
444,December,2014,104.8,86.4,12
445,January,2015,109.3,91,1
446,February,2015,106.9,88,2
447,March,2015,105,85.3,3
448,April,2015,107,88.8,4
449,May,2015,100.8,84.2,5
450,June,2015,108.9,87.8,6
451,July,2015,107.2,84.1,7
452,August,2015,105.1,83.4,8
453,September,2015,101.2,78.2,9
454,October,2015,102.3,82.1,10
455,November,2015,104.3,82.9,11
456,December,2015,108.1,82.7,12
457,January,2016,106.4,82.7,1
458,February,2016,106.8,81.9,2
459,March,2016,105.6,81.5,3
460,April,2016,106.7,77.6,4
461,May,2016,109.9,84.9,5
462,June,2016,110.8,82.4,6
463,July,2016,109,77.8,7
464,August,2016,107,78.7,8
465,September,2016,104.2,82.7,9
466,October,2016,103.2,76.8,10
467,November,2016,107.3,85.2,11
468,December,2016,111.9,89.5,12
469,January,2017,111.3,90.3,1
470,February,2017,111.5,86.5,2
471,March,2017,113.2,86.5,3
472,April,2017,112.7,87,4
473,May,2017,111.7,87.7,5
474,June,2017,112.4,83.8,6
475,July,2017,113.4,80.5,7
476,August,2017,110.9,87.7,8
477,September,2017,111.7,84.4,9
478,October,2017,116.5,90.5,10
479,November,2017,113.5,88.9,11
480,December,2017,113.8,84.3,12
481,January,2018,110.5,86.3,1
482,February,2018,114.9,90,2
483,March,2018,121.2,88.8,3
484,April,2018,114.9,88.4,4
485,May,2018,111.8,89.1,5
486,June,2018,116.5,86.3,6
487,July,2018,114.4,87.3,7
488,August,2018,110.3,87.1,8
489,September,2018,115.2,90.5,9
490,October,2018,113.1,89.3,10
491,November,2018,112.3,88.1,11
492,December,2018,116.1,87,12
493,January,2019,108.8,79.9,1
494,February,2019,108.5,84.4,2
495,March,2019,113.3,88.8,3
496,April,2019,112.3,87.4,4
497,May,2019,110,93.5,5
498,June,2019,111.9,89.3,6
499,July,2019,110.7,90.5,7
500,August,2019,105.3,79.9,8
501,September,2019,108.5,83.4,9
502,October,2019,113.2,84.2,10
503,November,2019,111.6,87.3,11
504,December,2019,115.5,88.9,12
505,January,2020,114.4,90.5,1
506,February,2020,114.8,92.1,2
507,March,2020,103.7,79.7,3
508,April,2020,74.3,70.1,4
509,May,2020,82.3,65.9,5
510,June,2020,87.1,72.3,6
511,July,2020,82.8,65.9,7
512,August,2020,82.9,68.5,8
513,September,2020,87.8,75.6,9
514,October,2020,85.9,79.2,10
515,November,2020,87,70.5,11
516,December,2020,90,74.6,12
517,January,2021,86.7,74,1
518,February,2021,86.2,70.7,2
519,March,2021,93,79.7,3
520,April,2021,97.2,82.7,4
521,May,2021,89.4,78.8,5
522,June,2021,88.6,83.5,6
523,July,2021,84.5,79,7
524,August,2021,78.5,65.1,8
525,September,2021,80.1,68.1,9
526,October,2021,77.7,67.9,10
527,November,2021,73.6,63.5,11
528,December,2021,74.2,68.3,12
529,January,2022,72,64.1,1
530,February,2022,68.2,59.4,2
531,March,2022,67.2,54.3,3
532,April,2022,69.4,62.5,4
533,May,2022,63.3,55.2,5
534,June,2022,53.8,47.5,6
535,July,2022,58.1,47.3,7
536,August,2022,58.6,58,8
537,September,2022,59.7,58,9
538,October,2022,65.6,56.2,10
539,November,2022,58.8,55.6,11
540,December,2022,59.4,59.9,12
