seq,month,year,current,expected,myTime
1,January,1978,96.2,75.7,1
2,February,1978,95.4,77.2,2
3,March,1978,93.2,69.5,3
4,April,1978,98,71.1,4
5,May,1978,98.2,73,5
6,June,1978,98.4,68.1,6
7,July,1978,98.7,72,7
8,August,1978,96.1,67,8
9,September,1978,96.9,69.8,9
10,October,1978,91.2,71.7,10
11,November,1978,94.1,62.8,11
12,December,1978,85.2,53.8,12
13,January,1979,93.3,58.4,1
14,February,1979,92.2,62.2,2
15,March,1979,91.2,53.7,3
16,April,1979,85.9,53.3,4
17,May,1979,88.7,54.9,5
18,June,1979,88.2,51.4,6
19,July,1979,85.7,44.2,7
20,August,1979,88.2,49.3,8
21,September,1979,87.1,53.6,9
22,October,1979,81.6,49.5,10
23,November,1979,80.9,52,11
24,December,1979,75.8,51.5,12
25,January,1980,87.1,54.1,1
26,February,1980,85.5,54.9,2
27,March,1980,75.3,44.3,3
28,April,1980,65.8,44.4,4
29,May,1980,61.7,45.3,5
30,June,1980,67.4,53,6
31,July,1980,76.1,53.4,7
32,August,1980,79.4,59.6,8
33,September,1980,82.7,67.9,9
34,October,1980,83.4,69.6,10
35,November,1980,76.4,76.9,11
36,December,1980,70.9,60.4,12
37,January,1981,76.7,67.9,1
38,February,1981,74.4,62.1,2
39,March,1981,73.5,62.1,3
40,April,1981,78.1,68.8,4
41,May,1981,80.4,73.6,5
42,June,1981,76.1,71.2,6
43,July,1981,84.9,67.1,7
44,August,1981,87.1,70.8,8
45,September,1981,79.5,69,9
46,October,1981,82.8,62.2,10
47,November,1981,72.1,56.3,11
48,December,1981,75.9,56.8,12
49,January,1982,83.5,62.9,1
50,February,1982,78.6,58.7,2
51,March,1982,75.9,53.1,3
52,April,1982,72.3,61.1,4
53,May,1982,76.1,62,5
54,June,1982,74.3,60.1,6
55,July,1982,77.5,57.6,7
56,August,1982,72.5,60.9,8
57,September,1982,72.9,66.9,9
58,October,1982,78.1,70.4,10
59,November,1982,73.8,71,11
60,December,1982,78.1,67.9,12
61,January,1983,78.4,65.2,1
62,February,1983,79.9,71.2,2
63,March,1983,80.5,80.9,3
64,April,1983,92.7,86.9,4
65,May,1983,93.1,93.4,5
66,June,1983,96.9,89.2,6
67,July,1983,96.5,90.5,7
68,August,1983,95.1,88.2,8
69,September,1983,96.4,85.8,9
70,October,1983,94.3,86.1,10
71,November,1983,96.1,87.9,11
72,December,1983,99.3,91,12
73,January,1984,104.9,97,1
74,February,1984,103.9,93.2,2
75,March,1984,106,97.7,3
76,April,1984,103.5,91.4,4
77,May,1984,109.8,90.6,5
78,June,1984,104.4,89.8,6
79,July,1984,103.9,91.9,7
80,August,1984,107.5,93.7,8
81,September,1984,107.8,96.4,9
82,October,1984,103.6,91.6,10
83,November,1984,102.4,91.5,11
84,December,1984,100.6,87.9,12
85,January,1985,104.9,90.3,1
86,February,1985,105.1,86.5,2
87,March,1985,103.7,87.3,3
88,April,1985,106.6,87,4
89,May,1985,103.7,84.2,5
90,June,1985,104.9,91.1,6
91,July,1985,104.3,87.4,7
92,August,1985,101.8,86.3,8
93,September,1985,104.3,84.2,9
94,October,1985,100.3,80.8,10
95,November,1985,100.7,84.5,11
96,December,1985,103.1,88.1,12
97,January,1986,111.8,85.3,1
98,February,1986,108.4,87.8,2
99,March,1986,107.9,86.9,3
100,April,1986,108.1,88.5,4
101,May,1986,106.2,87.5,5
102,June,1986,113.3,90.3,6
103,July,1986,112.1,88.5,7
104,August,1986,108.9,85.9,8
105,September,1986,108.3,81.3,9
106,October,1986,108.9,87.1,10
107,November,1986,106.7,81.6,11
108,December,1986,105.8,78.3,12
109,January,1987,105.1,80.9,1
110,February,1987,103.7,81.6,2
111,March,1987,102.5,83.3,3
112,April,1987,105.5,84.7,4
113,May,1987,107.4,80.6,5
114,June,1987,108.1,80.8,6
115,July,1987,109.9,83.3,7
116,August,1987,107.8,85.8,8
117,September,1987,108.3,84.2,9
118,October,1987,103.1,80.4,10
119,November,1987,99.3,72.7,11
120,December,1987,102.7,76.7,12
121,January,1988,106.2,80.9,1
122,February,1988,106.6,81.9,2
123,March,1988,109.1,85.2,3
124,April,1988,104.8,82.4,4
125,May,1988,106.5,87.3,5
126,June,1988,108.6,85.7,6
127,July,1988,110.7,82.3,7
128,August,1988,110.8,88.8,8
129,September,1988,109.4,89.5,9
130,October,1988,105,87,10
131,November,1988,103.3,86.3,11
132,December,1988,102,85.5,12
133,January,1989,110.3,89.9,1
134,February,1989,105.7,88.8,2
135,March,1989,104.8,87.6,3
136,April,1989,104.4,83.2,4
137,May,1989,107.1,80.1,5
138,June,1989,104.1,82,6
139,July,1989,102.1,85.5,7
140,August,1989,103.9,80.3,8
141,September,1989,107.1,88.6,9
142,October,1989,104.4,87.2,10
143,November,1989,101.2,84.3,11
144,December,1989,98.2,85.5,12
145,January,1990,108,83.4,1
146,February,1990,102.3,81.3,2
147,March,1990,106.9,81.3,3
148,April,1990,109.4,83.9,4
149,May,1990,108.1,79.3,5
150,June,1990,106.5,76.6,6
151,July,1990,105.1,77.3,7
152,August,1990,97.5,62.9,8
153,September,1990,94.7,58.8,9
